Celsius, Fahrenheit, Humidity
27.8,82.04,56.274662501025
25.6,78.08,66.507318908336
24.4,75.92,66.679313859909
23.9,75.02,68.710075389143
23.3,73.94,71.239385163397
22.8,73.04,73.427275291209
23.3,73.94,73.513212342164
22.8,73.04,75.770935807607
22.8,73.04,75.770935807607
21.1,69.98,84.050698469602
20.6,69.08,86.675935118971
20.6,69.08,86.675935118971
21.7,71.06,86.779227810896
23.9,75.02,78.82635534845
26.1,78.98,73.987357626907
28.9,84.02,69.66682889015
30.0,86.0,65.383129907649
30.6,87.08000000000001,65.112360320481
31.7,89.06,61.156665388462
30.6,87.08000000000001,63.172227178147
30.6,87.08000000000001,63.172227178147
30.6,87.08000000000001,63.172227178147
29.4,84.91999999999999,65.259080192603
28.3,82.94,69.554151666157
26.7,80.06,71.413839909533
25.6,78.08,62.075278891707
22.8,73.04,70.699104870945
22.2,71.96,76.153083401811
22.8,73.04,70.699104870945
22.2,71.96,71.036744145587
22.2,71.96,71.036744145587
22.2,71.96,78.583746586071
21.7,71.06,78.51163782694
21.1,69.98,81.450937739722
20.0,68.0,87.166373588393
20.0,68.0,87.166373588393
20.0,68.0,87.166373588393
19.4,66.92,90.47284679466
20.0,68.0,87.166373588393
21.7,71.06,84.117198153574
23.3,73.94,68.592505205102
24.4,75.92,62.199469107209
25.0,77.0,60.008901812122
25.6,78.08,59.768888806683
26.7,80.06,56.006054233357
26.7,80.06,56.006054233357
27.2,80.96,52.688225660121
26.1,78.98,58.024326504283
25.6,78.08,53.982484750511
23.9,75.02,61.692553954216
22.8,73.04,68.494069250584
21.1,69.98,78.424650325911
20.6,69.08,80.874163179441
20.0,68.0,83.927730711854
20.0,68.0,87.166373588393
19.4,66.92,90.47284679466
20.0,68.0,87.166373588393
20.0,68.0,89.94856028028
20.0,68.0,89.94856028028
19.4,66.92,90.47284679466
19.4,66.92,90.47284679466
19.4,66.92,90.47284679466
19.4,66.92,93.360569892076
19.4,66.92,90.47284679466
21.1,69.98,87.266357692714
22.8,73.04,78.669823181656
23.9,75.02,73.615825457565
24.4,75.92,73.70091272937
25.0,77.0,73.802512188061
26.1,78.98,71.746432016292
26.7,80.06,71.413839909533
26.7,80.06,71.413839909533
26.7,80.06,71.413839909533
26.7,80.06,71.413839909533
25.6,78.08,71.214708535234
25.0,77.0,73.802512188061
24.4,75.92,73.70091272937
23.9,75.02,75.945521582946
24.4,75.92,76.496601974948
24.4,75.92,81.864390650705
23.9,75.02,84.357623491958
23.9,75.02,84.357623491958
24.4,75.92,87.55957195861
25.0,77.0,90.302538889004
25.0,77.0,90.302538889004
25.0,77.0,90.302538889004
23.9,75.02,93.575684398805
23.9,75.02,93.575684398805
24.4,75.92,90.810007038205
24.4,75.92,93.598946294906
25.0,77.0,90.302538889004
25.6,78.08,90.343779336786
26.7,80.06,87.234314384917
27.2,80.96,87.800683013795
28.9,84.02,82.407127521839
30.0,86.0,79.665358249187
31.7,89.06,72.295348204948
33.3,91.94,68.435290946529
35.0,95.0,58.328205179457
36.1,96.98,56.542767652041
35.6,96.08000000000001,58.121402354893
33.3,91.94,64.126850820728
32.2,89.96000000000001,68.225171967128
31.1,87.98,77.500674690895
30.6,87.08000000000001,79.74530566981
29.4,84.91999999999999,82.465981961696
28.9,84.02,84.884784338985
28.3,82.94,87.893537569542
27.8,82.04,90.492805989506
31.1,87.98,77.500674690895
33.9,93.02,63.873360482874
35.6,96.08000000000001,60.215904749785
37.2,98.96000000000001,55.155974116492
37.2,98.96000000000001,53.237472345911
36.1,96.98,56.542767652041
36.1,96.98,58.580381292846
33.9,93.02,62.008994940017
29.4,84.91999999999999,72.328259698258
28.3,82.94,74.35161183138
27.8,82.04,74.269456885044
27.8,82.04,74.269456885044
24.4,75.92,84.929210121545
23.9,75.02,87.515784017394
22.8,73.04,90.149085239322
22.8,73.04,87.418653982336
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,84.172308156337
21.7,71.06,86.779227810896
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
22.2,71.96,81.590248067882
22.2,71.96,81.590248067882
22.2,71.96,81.590248067882
23.3,73.94,76.325722453238
24.4,75.92,73.70091272937
23.9,75.02,73.615825457565
23.3,73.94,76.325722453238
22.2,71.96,81.590248067882
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
23.3,73.94,78.741177808945
23.3,73.94,78.741177808945
25.0,77.0,73.802512188061
26.0,78.8,69.54626593683
25.6,78.08,71.214708535234
25.6,78.08,71.214708535234
25.6,78.08,73.903563829241
23.3,73.94,78.741177808945
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
21.7,71.06,90.071015455661
20.6,69.08,89.992032132584
20.6,69.08,92.839980753296
19.4,66.92,96.932411448598
19.4,66.92,93.360569892076
20.0,68.0,89.94856028028
20.0,68.0,93.389863240725
19.4,66.92,96.932411448598
19.0,66.2,93.929774401027
20.0,68.0,93.389863240725
20.0,68.0,93.389863240725
20.0,68.0,93.389863240725
20.6,69.08,92.839980753296
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.7,71.06,86.779227810896
21.7,71.06,86.779227810896
22.0,71.6,78.062863996432
21.7,71.06,81.017581632195
22.2,71.96,76.153083401811
21.7,71.06,75.59455930106
21.1,69.98,75.978662533015
22.2,71.96,68.375390071082
23.3,73.94,66.453172358623
23.3,73.94,61.951860577668
23.9,75.02,59.752298549825
23.3,73.94,63.96353937857
23.9,75.02,59.752298549825
21.7,71.06,68.27602497162
